orcamento,lingua_original,titulo,popularidade,data_lancamento,faturamento,tempo,estado,rotulo,media_votos,contagem_votos
105000000,en,The Great Gatsby,61.196071,2013-05-10,351040419,143,Released,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,7.3,3769
150000000,en,Prince of Persia: The Sands of Time,62.169881,2010-05-19,335154643,116,Released,Defy the Future,6.2,2317
180000000,en,Pacific Rim,56.523205,2013-07-11,407602906,131,Released,"To Fight Monsters, We Created Monsters",6.7,4794
195000000,en,Transformers: Dark of the Moon,28.529607,2011-06-28,1123746996,154,Released,The invasion we always feared. An enemy we never expected.,6.1,3299
185000000,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,2008-05-21,786636033,122,Released,The adventure continues . . .,5.7,2495
175000000,en,The Good Dinosaur,51.692953,2015-11-14,331926147,93,Released,Little Arms With Big Attitude,6.6,1736
185000000,en,Brave,125.114374,2012-06-21,538983207,93,Released,Change your fate.,6.7,4641
185000000,en,Star Trek Beyond,65.352913,2016-07-07,343471816,122,Released,,6.6,2568
180000000,en,WALL·E,66.390712,2008-06-22,521311860,98,Released,An adventure beyond the ordinar-E.,7.8,6296
140000000,en,Rush Hour 3,22.57178,2007-08-08,258022233,91,Released,The Rush Is On!,6.1,783
200000000,en,2012,45.274225,2009-10-10,769653595,158,Released,We Were Warned.,5.6,4903
200000000,en,A Christmas Carol,39.744242,2009-11-04,325233863,96,Released,Season's Greedings,6.6,1095
176000003,en,Jupiter Ascending,85.36908,2015-02-04,183987723,124,Released,Expand your universe.,5.2,2768
180000000,en,The Legend of Tarzan,42.741719,2016-06-29,356743061,109,Released,Human. Nature.,5.5,2430
180000000,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,2005-12-07,748806957,143,Released,Evil Has Reigned For 100 Years...,6.7,2629
178000000,en,X-Men: Apocalypse,139.272042,2016-05-18,543934787,144,Released,Only the strong will survive,6.4,4721
185000000,en,The Dark Knight,187.322927,2008-07-16,1004558444,152,Released,Why So Serious?,8.2,12002
175000000,en,Up,92.201962,2009-05-13,735099082,96,Released,,7.7,6870
175000000,en,Monsters vs Aliens,36.167578,2009-03-19,381509870,94,Released,"When aliens attack, monsters fight back.",6.0,1423
140000000,en,Iron Man,120.725053,2008-04-30,585174222,126,Released,Heroes aren't born. They're built.,7.4,8776
170000000,en,Hugo,32.319043,2011-11-22,185770160,126,Released,One of the most legendary directors of our time takes you on an extraordinary adventure.,7.0,2141
170000000,en,Wild Wild West,40.748915,1999-06-29,222104681,106,Released,It's a whole new west.,5.1,1020
145000000,en,The Mummy: Tomb of the Dragon Emperor,60.034162,2008-07-01,401128639,112,Released,A New Evil Awakens.,5.2,1387
175000000,en,Suicide Squad,90.23792,2016-08-02,745000000,123,Released,Worst Heroes Ever,5.9,7458
175000000,en,Evan Almighty,27.082182,2007-06-09,173000000,96,Released,A comedy of biblical proportions,5.3,1151
178000000,en,Edge of Tomorrow,79.456485,2014-05-27,370541256,113,Released,"Live, Die, Repeat",7.6,4858
175000000,en,Waterworld,44.640292,1995-07-28,264218220,135,Released,Beyond the horizon lies the secret to a new beginning.,5.9,992
175000000,en,G.I. Joe: The Rise of Cobra,32.852443,2009-08-04,302469017,118,Released,"When all else fails, they don't.",5.6,1962
175000000,en,Inside Out,128.655964,2015-06-09,857611174,94,Released,Meet the little voices inside your head.,8.0,6560
175000000,en,The Jungle Book,94.199316,2016-04-07,966550600,106,Released,,6.7,2892
200000000,en,Iron Man 2,77.300194,2010-04-28,623933331,124,Released,"It's not the armor that makes the hero, but the man inside.",6.6,6849
170000000,en,Snow White and the Huntsman,77.178973,2012-05-30,396600000,127,Released,The Fairytale is Over,5.8,3118
180000000,en,Maleficent,110.620647,2014-05-28,758539785,97,Released,Don't believe the fairy tale.,7.0,4496
170000000,en,Dawn of the Planet of the Apes,243.791743,2014-06-26,710644566,130,Released,One last chance for peace.,7.3,4410
27000000,en,The Lovers,2.418535,2015-02-13,0,109,Released,Love is longer than life.,4.8,34
175000000,en,47 Ronin,41.796339,2013-12-06,150962475,119,Released,For courage. For loyalty. For honor.,5.9,1326
170000000,en,Captain America: The Winter Soldier,72.225265,2014-03-20,714766572,136,Released,In heroes we trust.,7.6,5764
165000000,en,Shrek Forever After,44.041186,2010-05-16,752600867,93,Released,It ain't Ogre... Til it's Ogre,6.0,1959
190000000,en,Tomorrowland,130.311355,2015-05-19,209154322,130,Released,Imagine a world where nothing is impossible.,6.2,2846
165000000,en,Big Hero 6,203.73459,2014-10-24,652105443,102,Released,From the creators of Wreck-it Ralph and Frozen,7.8,6135
165000000,en,Wreck-It Ralph,62.341073,2012-11-01,471222889,108,Released,The story of a regular guy just looking for a little wreck-ognition.,7.1,4570
165000000,en,The Polar Express,47.323228,2004-11-10,305875730,100,Released,This holiday season... believe.,6.4,1474
165000000,en,Independence Day: Resurgence,48.775723,2016-06-22,389681935,120,Released,We had twenty years to prepare. So did they.,4.9,2491
165000000,en,How to Train Your Dragon,67.263269,2010-03-05,494878759,98,Released,One adventure will change two worlds,7.5,4227
200000000,en,Terminator 3: Rise of the Machines,69.405188,2003-07-02,435000000,109,Released,The Machines Will Rise.,5.9,2143
170000000,en,Guardians of the Galaxy,481.098624,2014-07-30,773328629,121,Released,All heroes start somewhere.,7.9,9742
165000000,en,Interstellar,724.247784,2014-11-05,675120017,169,Released,Mankind was born on Earth. It was never meant to die here.,8.1,10867
160000000,en,Inception,167.58371,2010-07-14,825532764,148,Released,Your mind is the scene of the crime.,8.1,13752
15000000,ja,シン・ゴジラ,9.476999,2016-07-29,77000000,120,Released,A god incarnate. A city doomed.,6.5,143
250000000,en,The Hobbit: An Unexpected Journey,108.849621,2012-11-26,1021103568,169,Released,From the smallest beginnings come the greatest legends.,7.0,8297
38000000,en,The Fast and the Furious,6.909942,2001-06-22,207283925,106,Released,Live life 1/4 mile at a time.,6.6,3428
150000000,en,The Curious Case of Benjamin Button,60.269279,2008-11-24,333932083,166,Released,"Life isn't measured in minutes, but in moments.",7.3,3292
160000000,en,X-Men: First Class,3.195174,2011-05-24,353624124,132,Released,Witness the moment that will change our world.,7.1,5181
160000000,en,The Hunger Games: Mockingjay - Part 2,127.284427,2015-11-18,653428261,137,Released,The fire will burn forever.,6.6,3984
150000000,en,The Sorcerer's Apprentice,35.580815,2010-07-13,215283742,109,Released,It's The Coolest Job Ever.,5.8,1470
160000000,en,Poseidon,21.133748,2006-05-12,181674817,99,Released,Mayday,5.5,583
170000000,en,Alice Through the Looking Glass,56.268916,2016-05-25,299370084,113,Released,It's time for a little madness.,6.5,1725
160000000,en,Shrek the Third,42.986467,2007-05-17,798958165,93,Released,Who's ready for Thirds?,6.0,2278
160000000,en,Warcraft,63.148529,2016-05-25,433677183,123,Released,Two worlds. One home.,6.3,2268
155000000,en,Terminator Genisys,202.042635,2015-06-23,440603537,126,Released,Reset the future,5.8,3631
155000000,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,49.661984,2010-08-13,415686217,113,Released,Return to magic. Return to hope. Return to Narnia.,6.2,1514
140000000,en,Pearl Harbor,34.20669,2001-05-21,449220945,183,Released,It takes a moment to change history. It takes love to change lives.,6.6,1791
150000000,en,Transformers,25.468493,2007-06-27,709709780,144,Released,Their war. Our world.,6.6,4040
155000000,en,Alexander,39.019229,2004-11-21,167298192,175,Released,The greatest legend of all was real.,5.6,927
150000000,en,Harry Potter and the Order of the Phoenix,78.144395,2007-06-28,938212738,138,Released,Evil Must Be Confronted.,7.4,5494
150000000,en,Harry Potter and the Goblet of Fire,101.250416,2005-11-05,895921036,157,Released,Dark And Difficult Times Lie Ahead.,7.5,5608
150000000,en,Hancock,56.758411,2008-07-01,624029371,92,Released,Bad Behavior. Bad Attitude. Real Hero.,6.2,2961
150000000,en,I Am Legend,70.867401,2007-12-14,585349010,101,Released,The last man on Earth is not alone,6.9,4853
150000000,en,Charlie and the Chocolate Factory,53.905592,2005-07-13,474968763,115,Released,Willy Wonka is semi-sweet and nuts.,6.7,3624
150000000,en,Ratatouille,65.677399,2007-06-22,623722818,111,Released,He's dying to become a chef.,7.5,4369
150000000,en,Batman Begins,115.040024,2005-06-10,374218673,140,Released,Evil fears the knight.,7.5,7359
150000000,en,Madagascar: Escape 2 Africa,44.141021,2008-10-30,603900354,89,Released,Still together. Still lost!,6.2,1810
150000000,en,Night at the Museum: Battle of the Smithsonian,81.781591,2009-05-20,413106170,105,Released,When the lights go off the battle is on.,5.9,1971
150000000,en,X-Men Origins: Wolverine,5.954334,2009-04-28,373062864,107,Released,Witness the Origin.,6.2,4021
150000000,en,The Matrix Revolutions,73.313918,2003-11-05,424988211,129,Released,Everything that has a beginning has an end.,6.4,3096
150000000,en,Frozen,165.125366,2013-11-27,1274219009,102,Released,Only the act of true love will thaw a frozen heart.,7.3,5295
150000000,en,The Matrix Reloaded,70.78591,2003-05-15,738599701,138,Released,Free your mind.,6.7,3443
170000000,en,Thor: The Dark World,99.499595,2013-10-29,644571402,112,Released,Delve into the darkness,6.8,4755
150000000,en,Mad Max: Fury Road,434.278564,2015-05-13,378858340,120,Released,What a Lovely Day.,7.2,9427
150000000,en,Angels & Demons,67.447636,2009-05-13,356613439,138,Released,,6.5,2129
150000000,en,Thor,86.493424,2011-04-21,449326618,115,Released,Two worlds. One hero.,6.6,6525
150000000,en,Bolt,41.845878,2008-11-21,309979994,98,Released,Fully Awesome. Ridonculous. Let It Begin.,6.3,1750
150000000,en,G-Force,26.710398,2009-07-21,292817841,88,Released,The world needs bigger heroes,5.1,510
150000000,en,Wrath of the Titans,44.927635,2012-03-27,301000000,99,Released,Feel the Wrath,5.5,1431
150000000,en,Dark Shadows,50.306728,2012-05-08,245527149,113,Released,Every Family Has Its Demons,5.7,2320
150000000,en,Mission: Impossible - Rogue Nation,114.522237,2015-07-23,682330139,131,Released,Desperate Times. Desperate Measures.,7.1,3224
150000000,en,The Wolfman,21.214571,2010-02-11,0,102,Released,When the moon is full the legend comes to life,5.5,549
150000000,en,Bee Movie,29.332905,2007-10-28,287594577,91,Released,Born to bee wild.,5.7,1171
150000000,en,Kung Fu Panda 2,51.247321,2011-05-25,665692281,91,Released,Prepare for the Year of Awesomeness!,6.7,1880
150000000,en,The Last Airbender,33.769336,2010-06-30,318502923,103,Released,"Four nations, one destiny",4.7,1151
150000000,en,Mission: Impossible III,63.079003,2006-05-03,397850012,126,Released,The Mission Begins 05:05:06.,6.5,2028
150000000,en,White House Down,39.004588,2013-06-27,205366737,131,Released,It will start like any other day.,6.4,1891
150000000,en,Mars Needs Moms,12.362599,2011-03-09,38992758,88,Released,Mom needs a little space.,5.5,199
149000000,en,Flushed Away,22.550135,2006-10-22,64459316,85,Released,Someone's Going Down,6.0,874
150000000,en,Pan,48.03528,2015-09-24,128388320,111,Released,Every legend has a beginning.,5.9,954
145000000,en,Mr. Peabody & Sherman,38.73494,2014-02-07,272912430,92,Released,He's Leaving His Mark On History,6.7,843
175000000,en,Troy,66.803149,2004-05-13,497409852,163,Released,For passion. For honor. For destiny. For victory. For love.,6.9,2759
145000000,en,Madagascar 3: Europe's Most Wanted,44.989192,2012-06-06,746921274,93,Released,"Six years ago, they disappeared without a trace. Next summer, they finally resurface.",6.4,1808
140000000,en,Die Another Day,54.159392,2002-11-17,431971116,133,Released,He’s never been cooler.,5.8,1092
144000000,en,Ghostbusters,66.21806,2016-07-14,229147509,116,Released,Who You Gonna Call?,5.3,2142
140000000,en,Armageddon,58.485967,1998-07-01,553799566,151,Released,The Earth's Darkest Day Will Be Man's Finest Hour,6.4,2482
140000000,en,Men in Black II,91.332849,2002-07-03,441818803,88,Released,Same Planet. New Scum.,6.0,3114
70000000,en,Beowulf,35.601665,2007-11-05,195735876,115,Released,Evil breeds pain.,5.5,841
145000000,en,Kung Fu Panda 3,56.747978,2016-01-23,521170825,95,Released,Grab destiny by the rice dumplings.,6.7,1603
145000000,en,Mission: Impossible - Ghost Protocol,77.77477,2011-12-07,694713380,133,Released,No Plan. No Backup. No Choice.,6.8,3972
145000000,en,Rise of the Guardians,61.788035,2012-11-21,306941670,97,Released,You better believe.,7.1,1922
100000000,en,Fun with Dick and Jane,25.159168,2005-12-21,202026112,90,Released,Giving big businesses a run for their money!,5.9,627
140000000,en,The Last Samurai,52.341226,2003-12-05,456758981,154,Released,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",7.3,1895
140000000,en,Exodus: Gods and Kings,101.599427,2014-12-03,268031828,150,Released,"Once brothers, now enemies.",5.6,1921
150000000,en,Star Trek,73.616808,2009-05-06,385680446,127,Released,The future begins.,7.4,4518
139000000,en,Spider-Man,82.502566,2002-05-01,821708551,121,Released,With great power comes great responsibility.,6.8,5265
145000000,en,How to Train Your Dragon 2,100.21391,2014-06-12,609123048,102,Released,The training is over.,7.6,3106
140000000,en,Gods of Egypt,56.257249,2016-02-25,150680864,127,Released,The battle for eternity begins,5.3,1277
135000000,en,Stealth,17.88953,2005-07-28,76932943,121,Released,Fear The Sky,4.9,331
130000000,en,Watchmen,64.798873,2009-03-05,185258983,163,Released,Justice is coming to all of us.  No matter what we do.,7.0,2811
140000000,en,Lethal Weapon 4,24.855701,1998-07-10,285444603,127,Released,The faces you love. The action you expect.,6.3,767
137000000,en,Hulk,34.981698,2003-06-19,245360480,138,Released,Unleash the hero within,5.3,1533
130000000,en,G.I. Joe: Retaliation,59.325589,2013-03-26,371876278,110,Released,,5.4,3025
130000000,en,Sahara,21.605568,2005-04-06,119269486,124,Released,Dirk Pitt. Adventure has a new name.,5.7,434
137000000,en,Final Fantasy: The Spirits Within,26.074908,2001-07-02,85131830,106,Released,Unleash a new reality,5.9,433
140000000,en,Captain America: The First Avenger,74.506246,2011-07-22,370569774,124,Released,When patriots become heroes,6.6,7047
135000000,en,The World Is Not Enough,39.604363,1999-11-08,361832400,128,Released,As the countdown begins for the new millennium there is still one number you can always count on.,6.0,862
150000000,en,Master and Commander: The Far Side of the World,36.973031,2003-11-14,212011111,138,Released,The courage to do the impossible lies in the hearts of men.,6.9,790
120000000,en,The Twilight Saga: Breaking Dawn - Part 2,99.687084,2012-11-13,829000000,115,Released,The epic finale that will live forever,6.1,2553
130000000,en,Happy Feet Two,17.7735,2011-11-17,150406466,100,Released,Every step counts.,5.8,373
150000000,en,The Incredible Hulk,62.898336,2008-06-12,163712074,114,Released,You'll like him when he's angry.,6.1,3021
140000000,en,The BFG,44.19092,2016-06-01,183345589,120,Released,The world is more giant than you can imagine.,6.0,1000
135000000,en,The Revenant,100.635882,2015-12-25,532950503,156,Released,"(n. One who has returned, as if from the dead.)",7.3,6396
135000000,en,Turbo,44.765377,2013-07-11,282570682,96,Released,SLO NO MO,6.1,1074
135000000,en,Rango,29.91353,2011-03-02,245724603,107,Released,Heroes come in all different colors.,6.6,2051
132000000,en,Penguins of Madagascar,84.366984,2014-11-22,373552094,92,Released,The Movie Event That Will Blow Their Cover,6.5,1346
70000000,en,The Bourne Ultimatum,45.381501,2007-08-03,442824138,115,Released,Remember everything. Forgive nothing.,7.3,2888
130000000,en,Kung Fu Panda,84.689648,2008-06-04,631744560,90,Released,Prepare for awesomeness.,6.9,3145
130000000,en,Ant-Man,120.09361,2015-07-14,519311965,117,Released,Heroes don't get any bigger.,7.0,5880
130000000,en,The Hunger Games: Catching Fire,76.310119,2013-11-15,847423452,146,Released,Every revolution begins with a spark.,7.4,6495
135000000,en,Home,63.473086,2015-03-18,368871007,94,Released,Worlds Collide,6.8,1519
132000000,en,War of the Worlds,48.572726,2005-06-28,591739379,116,Released,They're already here.,6.2,2322
130000000,en,Bad Boys II,38.068736,2003-07-18,273339556,147,Released,"If you can't stand the heat, get out of Miami.",6.3,1564
130000000,en,Puss in Boots,20.678787,2011-10-28,554987477,90,Released,Live for danger. Fight for justice. Pray for mercy.,6.4,451
110000000,en,Salt,48.829437,2010-07-21,293329073,100,Released,Who is Salt?,6.2,2093
125000000,en,Noah,46.115758,2014-03-20,362637473,139,Released,The end of the world is just the beginning.,5.6,2350
130000000,en,The Adventures of Tintin,89.938296,2011-10-25,371940071,107,Released,"This year, discover how far adventure will take you.",6.7,2061
130000000,en,Harry Potter and the Prisoner of Azkaban,79.679601,2004-05-31,789804554,141,Released,Something wicked this way comes.,7.7,5877
130000000,en,Australia,28.840997,2008-11-18,49554002,165,Released,Welcome to Australia!,6.3,694
130000000,en,After Earth,42.840582,2013-05-30,243843127,100,Released,"Danger is real, fear is a choice",5.0,2532
127500000,en,Dinosaur,26.548594,2000-05-19,354248063,82,Released,You have never seen anything like this.,6.2,542
127000000,en,Night at the Museum: Secret of the Tomb,115.597753,2014-12-17,349424282,97,Released,One Final Night to Save the Day.,6.1,1851
130000000,en,Megamind,68.757242,2010-10-28,321887208,95,Released,His brain is off the chain.,6.7,1918
125000000,en,Harry Potter and the Philosopher's Stone,109.984351,2001-11-16,976475550,152,Released,Let the Magic Begin.,7.5,7006
130000000,en,R.I.P.D.,39.448066,2013-07-18,61648500,96,Released,To protect and serve the living,5.4,1260
140000000,en,Pirates of the Caribbean: The Curse of the Black Pearl,271.972889,2003-07-09,655011224,143,Released,Prepare to be blown out of the water.,7.5,6985
125000000,en,The Hunger Games: Mockingjay - Part 1,206.227151,2014-11-18,752100229,123,Released,Fire burns brighter in the darkness,6.6,5584
125000000,en,The Da Vinci Code,45.313197,2006-05-17,767820459,149,Released,Seek the truth.,6.5,2704
103000000,en,Rio 2,42.40024,2014-03-19,500188435,102,Released,"He's villainous, she's venomous.",6.3,978
110000000,en,X2,2.871739,2003-04-24,407711549,133,Released,The time has come for those who are different to stand united.,6.8,3506
125000000,en,Fast Five,7.255718,2011-04-20,626137675,130,Released,Get the Fifth Gear.,7.1,2438
125000000,en,Sherlock Holmes: A Game of Shadows,81.499621,2011-11-22,334615000,129,Released,The game is afoot.,7.0,3886
125000000,en,Clash of the Titans,47.686442,2010-04-01,232713139,106,Released,Titans will clash.,5.6,2233
65000000,en,Total Recall,43.129703,1990-06-01,261317921,113,Released,"They stole his mind, now he wants it back.",7.1,1710
160000000,en,The 13th Warrior,27.220157,1999-08-27,61698899,102,Released,Prey for the living.,6.4,510
130000000,en,The Bourne Legacy,90.33681,2012-08-08,276572938,120,Released,There Was Never Just One,6.0,2651
125000000,en,Batman & Robin,50.073575,1997-06-20,238207122,125,Released,Strength. Courage. Honor. And loyalty.,4.2,1418
123000000,en,How the Grinch Stole Christmas,45.419668,2000-11-17,345141403,104,Released,He puts the mean in green.,6.2,1386
125000000,en,The Day After Tomorrow,41.380094,2004-05-26,544272402,124,Released,Where will you be?,6.2,2392
125000000,en,Mission: Impossible II,54.931334,2000-05-24,546388105,123,Released,Expect the impossible again.,5.9,1928
120000000,en,The Perfect Storm,25.752118,2000-03-15,325756637,130,Released,The storm is coming.,6.2,597
130000000,en,4: Rise of the Silver Surfer,60.810723,2007-06-13,289047763,92,Released,Discover the secret of the Surfer.,5.4,2589
120000000,en,Life of Pi,51.328145,2012-11-20,609016565,127,Released,Believe The Unbelievable,7.2,5797
110000000,en,Ghost Rider,46.834704,2007-02-16,228738393,114,Released,Hell Is About To Be Unleashed,5.2,1712
120000000,en,Jason Bourne,62.641286,2016-07-27,415484914,123,Released,You know his name,5.9,2341
120000000,en,Charlie's Angels: Full Throttle,33.616115,2003-06-27,259175788,106,Released,This summer the Angels are back.,5.2,914
130000000,en,Prometheus,68.889395,2012-05-30,403170142,124,Released,The Search for Our Beginning Could Lead to Our End.,6.3,5080
120000000,en,Stuart Little 2,27.990284,2002-07-19,169956806,78,Released,A Little Goes A Long Way,5.4,613
115000000,en,Elysium,67.33767,2013-08-07,286140700,109,Released,He can save us all.,6.4,3439
105000000,en,The Chronicles of Riddick,27.835436,2004-06-11,115772733,119,Released,All the power in the universe can't change destiny,6.3,1570
120000000,en,RoboCop,66.757869,2014-01-30,242688965,102,Released,We've got the future under control.,5.7,2342
120000000,en,Speed Racer,17.060695,2008-05-09,93945766,135,Released,Go!,5.7,354
120000000,en,How Do You Know,11.137655,2010-12-17,48668907,121,Released,How do you know it's love?,4.9,223
117000000,en,Knight and Day,44.906918,2010-06-15,261930431,109,Released,Every Hit Man Deserves a Second Shot!,5.9,1547
120000000,en,Oblivion,67.698004,2013-04-10,286168572,124,Released,Earth is a memory worth fighting for,6.4,4800
113000000,en,Star Wars: Episode III - Revenge of the Sith,44.108427,2005-05-17,850000000,140,Released,The saga is complete.,7.1,4116
120000000,en,Star Wars: Episode II - Attack of the Clones,43.987061,2002-05-15,649398328,142,Released,A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.,6.4,3992
115000000,en,"Monsters, Inc.",106.815545,2001-11-01,562816256,92,Released,We Scare Because We Care.,7.5,5996
120000000,en,The Wolverine,15.953444,2013-07-23,415440673,126,Released,"When he's most vulnerable, he's most dangerous.",6.3,4053
115000000,en,Star Wars: Episode I - The Phantom Menace,54.035265,1999-05-19,924317558,136,Released,Every generation has a legend. Every journey has a first step. Every saga has a beginning.,6.3,4432
135000000,en,The Croods,64.183321,2013-03-20,585178928,98,Released,Meet the first modern family.,6.8,2399
97250400,fr,Astérix aux Jeux Olympiques,20.344364,2008-01-13,132900000,116,Released,,5.0,471
115000000,en,Windtalkers,18.714197,2002-06-14,77628265,134,Released,Honor Was Their Code.,5.8,341
115000000,en,The Huntsman: Winter's War,60.467984,2016-04-06,164602163,114,Released,The story before Snow White,6.0,1523
125000000,en,Teenage Mutant Ninja Turtles,143.350376,2014-08-07,477200000,101,Released,Mysterious. Dangerous. Reptilious. You've never seen heroes like this.,5.8,2636
105000000,en,Gravity,110.153618,2013-09-27,716392705,91,Released,Don't Let Go,7.3,5751
116000000,en,Dante's Peak,16.90444,1997-02-07,178127760,108,Released,The pressure is building...,5.7,428
135000000,en,Teenage Mutant Ninja Turtles: Out of the Shadows,39.873791,2016-06-01,245623848,112,Released,Raise some shell.,5.8,963
120000000,en,Fantastic Four,38.126095,2015-08-05,167977596,100,Released,Change is coming.,4.4,2278
110000000,en,Night at the Museum,48.780039,2006-10-20,574480841,108,Released,Where History Comes To Life,6.3,2862
110000000,en,San Andreas,100.412364,2015-05-27,470490832,114,Released,"A rescue pilot survived an earthquake, this is what happens next",6.0,2968
